Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S03652900097,01/19/2012,2635,Hy-Vee #4 / Davenport,4064 E 53RD ST,DAVENPORT,52807,POINT (-90.513769 41.574973),82,Scott,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32234,Seagrams Extra Dry Gin,24,375,3.40,5.10,2,10.20,0.75,0.20
S09995700048,01/10/2013,4295,Nat Food Mart #1 / Hubbell,3804 HUBBELL,DES MOINES,50317,POINT (-93.541351 41.630849),77,Polk,1032200,IMPORTED VODKA - MISC,395,Proximo,35766,"Three Olives ""dude"" Vodka",12,750,11.16,16.74,4,66.96,3.00,0.79
S17865600009,03/12/2014,4436,Kum & Go #216  Ames,203 WELCH AVE,AMES,50010,POINT (-93.650125 42.021236),85,Story,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45276,Paramount White Rum,12,750,4.00,6.00,12,72.00,9.00,2.38
S14871000032,10/01/2013,4195,Fareway Stores #792 / Toledo,1005 S COUNTY LINE RD,TOLEDO,52342,POINT (-92.581697 41.984303),86,Tama,1081315,CINNAMON SCHNAPPS,65,Jim Beam Brands,82611,Dekuyper Hot Damn!,12,750,5.30,8.45,3,25.35,2.25,0.59
S04752900094,03/27/2012,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1022100,TEQUILA,395,Proximo,87408,Jose Cuervo Especial Silver,12,750,10.49,15.73,12,188.76,9.00,2.38
S08161600035,10/08/2012,3757,Wal-Mart 3590 / Sioux City,3101 FLOYD BLVD,SIOUX CITY,51108,POINT (-96.37287 42.530454),97,Woodbury,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43125,Bacardi Superior Rum Pet,12,750,7.53,11.30,12,135.60,9.00,2.38
S15810000115,11/19/2013,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1031100,100 PROOF VODKA,434,Luxco-St Louis,36301,Hawkeye Vodka 80 Prf Mini,12,500,3.73,5.59,1,5.59,0.50,0.13
S17211100009,02/04/2014,4459,Kum & Go #544 / Eagle Grove,1120 S COMMERCIAL,EAGLE GROVE,50533,POINT (-93.9044 42.653973),99,Wright,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,14.04,21.05,12,252.60,9.00,2.38
S08600100004,10/30/2012,3477,Sam's Club 6472 / Council Bluffs,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78,Pottawattamie,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,"1,000",15.00,22.49,276,"6,207.24",276.00,72.91
S23120400058,12/22/2014,3721,Wal-Mart 0913 / Decorah,1798 OLD STAGE RD,DECORAH,52101,POINT (-91.753135 43.290041),96,Winneshiek,1031080,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,"1,750",7.20,10.80,6,64.80,10.50,2.77
S11632400023,04/15/2013,4668,Clear Lake Payless Foods,20 SOUTH 4TH ST,CLEAR LAKE,50428,POINT (-93.380368 43.135941),17,Cerro Gordo,1062310,SPICED RUM,240,"WILLIAM GRANT AND SONS, INC.",45886,Sailor Jerry Spiced Navy Rum,12,750,9.06,13.59,6,81.54,4.50,1.19
S26212300022,06/16/2015,3390,Okoboji Avenue Liquor,1610 OKOBOJI AVENUE,MILFORD,51351,POINT (-95.149955 43.331525),30,Dickinson,1062310,SPICED RUM,260,Diageo Americas,1799,Captain Morgan Spiced Barrel,6,"1,750",18.00,27.00,6,162.00,10.50,2.77
S27093100091,08/03/2015,4794,Smokin' Joe's #17 Tobacco and Liquor,110 S ROOSEVELT HWY 61,BURLINGTON,52601,POINT (-91.141203 40.80943700000001),29,Des Moines,1062300,FLAVORED RUM,260,Diageo Americas,43282,Captain Morgan Parrot Bay Pineapple,12,750,7.49,11.24,2,22.48,1.50,0.40
